Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
Seal 5 DM-i,2023,Local Data,60,218,35000,18.3,0.9,30,3,500,5,3,,,,,,,,,,LFP,,1.5
Seal 6 DM-i,2023,Local Data,60,200,35000,10.08,1.5,30,3,500,5,3,,,,,,,,,,LFP,,1.5
Seal U DM-i,2023,Local Data,60,218,38000,18.3,0.9,30,3,500,5,3,,,,,,,,,,LFP,,1.5
BYD Seal 07,2024-2025,Scraped Data,,156,,,,,,,,,29.46 kWh,,272,272,6.9,,4995,1900,1495,Lithium iron phosphate (LiFePO4),,1.497
BYD Seal 07,2024-2025,Scraped Data,,156,,,,,,,,,17.6 kWh,,272,272,6.9,,4995,1900,1495,Lithium iron phosphate (LiFePO4),,1.497
BYD Seal 07,2024-2025,Scraped Data,,101,,,,,,,,,17.6 kWh,,218,218,8,,4995,1900,1495,Lithium iron phosphate (LiFePO4),,1.498
BYD Seal 6 Touring DM-i 1.5L 19 kWh,2024-2025,Scraped Data,100,98,,,"1.7 l/100 km
							138.36 US mpg166.17 UK mpg58.82 km/l",38 g/km,,,,,19 kWh,,212,197,8.5,1805,4840,1875,1505,Lithium iron phosphate (LiFePO4),352,1.498
BYD Seal 6 Touring DM-i 1.5L 10.08 kWh,2024-2025,Scraped Data,50,98,,,"2.6 l/100 km
							90.47 US mpg108.65 UK mpg38.46 km/l",60 g/km,,,,,10.08 kWh,,184,197,8.9,1710,4840,1875,1505,Lithium iron phosphate (LiFePO4),268.8,1.498
BYD Seal 6 DM-i 1.5L 19 kWh,2024-2025,Scraped Data,105,98,,,"1.5 l/100 km
							156.81 US mpg188.32 UK mpg66.67 km/l",34 g/km,,,,,19 kWh,,212,197,8.5,1765,4840,1875,1495,Lithium iron phosphate (LiFePO4),352,1.498
BYD Seal 6 DM-i 1.5L 10.08 kWh,2024-2025,Scraped Data,55,98,,,"2.3 l/100 km
							102.27 US mpg122.82 UK mpg43.48 km/l",52 g/km,,,,,10.08 kWh,,184,197,8.9,1665,4840,1875,1495,Lithium iron phosphate (LiFePO4),268.8,1.498
BYD Sea Lion 06 DM-i 1.5L 26.6 kWh,2024-2025,Scraped Data,,101,,,,,,,,,26.6 kWh,,218,218,7.8,,4810,1920,1675,Lithium iron phosphate (LiFePO4),,1.498
BYD Sea Lion 06 DM-i 1.5L 18.3 kWh,2024-2025,Scraped Data,,101,,,,,,,,,18.3 kWh,,218,218,7.5,,4810,1920,1675,Lithium iron phosphate (LiFePO4),,1.498
BYD Sealion 6 DM-i 1.5L,2024-2025,Scraped Data,,131,,,,,,,,,18.3 kWh,,324,163,5.9,2100,4775,1890,1670,Lithium iron phosphate (LiFePO4),,1.497
BYD Sealion 6 DM-i 1.5L,2024-2025,Scraped Data,,98,,,,,,,,,18.3 kWh,,218,197,8.5,1940,4775,1890,1670,Lithium iron phosphate (LiFePO4),,1.498
BYD Seal 06 Station Wagon DM-i 1.5L 18.71 kWh,2024-2025,Scraped Data,,101,,,,,,,,,18.71 kWh,,218,218,7.7,,4850,1890,1505,Lithium iron phosphate (LiFePO4),,1.498
BYD Seal 06 Station Wagon DM-i 1.5L 10.08 kWh,2024-2025,Scraped Data,,101,,,,,,,,,10.08 kWh,,163,163,8.7,,4850,1890,1505,Lithium iron phosphate (LiFePO4),,1.498
BYD Xia DM-i 1.5Ti 36.6 kWh,2024-2025,Scraped Data,,156,,,,,,,,,36.6 kWh,,272,272,8.5,,5145,1970,1805,Lithium iron phosphate (LiFePO4),,1.498
BYD Xia DM-i 1.5Ti 20.39 kWh,2024-2025,Scraped Data,,156,,,,,,,,,20.39 kWh,,272,272,8.1,,5145,1970,1805,Lithium iron phosphate (LiFePO4),,1.498
