Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
Cupra Leon Sportstourer,2024-2025,Scraped Data,125,177,,19.7 kWh,"0.4-0.5 l/100 km
							588.04 - 470.43 US mpg706.2 - 564.96 UK mpg250 - 200 km/l",9-11 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.1,1681,4657,1799,1463,Lithium-ion (Li-Ion),,1.498
Cupra Leon Sportstourer,2024-2025,Scraped Data,131,150,,19.7 kWh,"0.4 l/100 km
							588.04 US mpg706.2 UK mpg250 km/l",9 g/km,,,,,25.8 kWh,19.7 kWh,204,116,7.7,1598,4657,1799,1463,Lithium-ion (Li-Ion),,1.498
Cupra Leon,2024-2025,Scraped Data,125,177,,19.7 kWh,"0.4 l/100 km
							588.04 US mpg706.2 UK mpg250 km/l",9-10 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.1,1633,4399,1799,1467,Lithium-ion (Li-Ion),,1.498
Cupra Leon,2024-2025,Scraped Data,131,150,,19.7 kWh,"0.4 l/100 km
							588.04 US mpg706.2 UK mpg250 km/l",9 g/km,,,,,25.8 kWh,19.7 kWh,204,116,7.7,1598,4399,1799,1467,Lithium-ion (Li-Ion),,1.498
Cupra Terramar 1.5 TSI,2024-2025,Scraped Data,120,150,,19.7 kWh,"0.4-0.5 l/100 km
							588.04 - 470.43 US mpg706.2 - 564.96 UK mpg250 - 200 km/l",10-12 g/km,,,,,25.8 kWh,19.7 kWh,204,116,8.3,1823,4519,1869,1586,Lithium-ion (Li-Ion),,1.498
Cupra Formentor,2024-2025,Scraped Data,118,177,,19.7 kWh,"0.4-0.5 l/100 km
							588.04 - 470.43 US mpg706.2 - 564.96 UK mpg250 - 200 km/l",10-11 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.2,1667,4451,1839,1537,Lithium-ion (Li-Ion),,1.498
Cupra Formentor,2024-2025,Scraped Data,125,150,,19.7 kWh,"0.4-0.5 l/100 km
							588.04 - 470.43 US mpg706.2 - 564.96 UK mpg250 - 200 km/l",9-10 g/km,,,,,25.8 kWh,19.7 kWh,204,116,7.9,1642,4451,1839,1537,Lithium-ion (Li-Ion),,1.498
Cupra Terramar 1.5 TSI,2024-2025,Scraped Data,120,177,,19.7 kWh,"0.4-0.5 l/100 km
							588.04 - 470.43 US mpg706.2 - 564.96 UK mpg250 - 200 km/l",10-12 g/km,,,,,25.8 kWh,19.7 kWh,272,116,7.3,1829,4519,1869,1586,Lithium nickel manganese cobalt oxides (Li-NMC),353,1.498
Cupra Leon 1.4 TSI,2024-2025,Scraped Data,62,150,,10.4 kWh,"1.1-1.3 l/100 km
							213.83 - 180.93 US mpg256.8 - 217.29 UK mpg90.91 - 76.92 km/l",26-29 g/km,,,,,12.8 kWh,10.4 kWh,204,116,7.5,1558,4398,1799,1442,Lithium-ion (Li-Ion),,1.395
Cupra Leon Sportstourer 1.4 TSI,2024-2025,Scraped Data,62,150,,10.4 kWh,"1.2-1.3 l/100 km
							196.01 - 180.93 US mpg235.4 - 217.29 UK mpg83.33 - 76.92 km/l",26-30 g/km,,,,,12.8 kWh,10.4 kWh,204,116,7.7,1583,4657,1799,1463,Lithium-ion (Li-Ion),,1.395
Cupra Formentor 1.4 TSI,2024-2025,Scraped Data,59,150,,10.4 kWh,"1.2-1.4 l/100 km
							196.01 - 168.01 US mpg235.4 - 201.77 UK mpg83.33 - 71.43 km/l",26-32 g/km,,,,,12.8 kWh,10.4 kWh,204,116,7.8,1606,4450,1839,1510,Lithium-ion (Li-Ion),,1.395
Cupra Formentor 1.4 TSI,2024-2025,Scraped Data,55,150,,10.4 kWh,"1.4-1.6 l/100 km
							168.01 - 147.01 US mpg201.77 - 176.55 UK mpg71.43 - 62.5 km/l",31-35 g/km,,,,,12.8 kWh,10.4 kWh,245,116,7.0,1629,4450,1839,1510,Lithium-ion (Li-Ion),,1.395
Cupra Leon Sportstourer 1.4 TSI,2024-2025,Scraped Data,59,150,,10.4 kWh,"1.2-1.4 l/100 km
							196.01 - 168.01 US mpg235.4 - 201.77 UK mpg83.33 - 71.43 km/l",28-31 g/km,,,,,12.8 kWh,10.4 kWh,245,116,7.0,1632,4657,1799,1463,Lithium-ion (Li-Ion),,1.395
Cupra Leon 1.4 TSI,2024-2025,Scraped Data,60,150,,10.4 kWh,"1.2-1.3 l/100 km
							196.01 - 180.93 US mpg235.4 - 217.29 UK mpg83.33 - 76.92 km/l",28-30 g/km,,,,,12.8 kWh,10.4 kWh,245,116,6.7,1558,4398,1799,1467,Lithium-ion (Li-Ion),,1.395
