Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
Niro,2024,Local Data,65,141,40000,8.9,1.3,29,2.5,451,5,7,,,,,,,,,,NCM,,1.6
Sportage,2024,Local Data,78,265,37477,13.8,1.4,26,3.2,540,5,7,,,,,,,,,,NCM,,1.6
Sorento,2024,Local Data,57,265,36542,13.8,1.6,36,3.2,175,7,7,,,,,,,,,,NCM,,1.6
Kia Niro II 1.6 GDI,2024-2025,Scraped Data,62,102,,,"2.4-2.7 l/100 km
							98.01 - 87.12 US mpg117.7 - 104.62 UK mpg41.67 - 37.04 km/l",53-61 g/km,,,,,11.1 kWh,,180,84,9.9,1519-1610,4420,1825,1560,Lithium-polymer (LiPo),360,1.58
Kia Sportage V 1.6 T-GDI,2024-2025,Scraped Data,64,160,,,"1.2 l/100 km
							196.01 US mpg235.4 UK mpg83.33 km/l",28 g/km,,,,,13.8 kWh,,252,91,8.3,1830-1922,4515,1865,1650,Lithium-polymer (LiPo),360,1.598
Kia Sorento IV,2024-2025,Scraped Data,55,160,,,"1.6 l/100 km
							147.01 US mpg176.55 UK mpg62.5 km/l",37 g/km,,,,,13.8 kWh,,252,91,8.8,2065-2180,4815,1900,1700,Lithium-polymer (LiPo),360,1.598
Kia Sorento IV,2024-2025,Scraped Data,55,160,,,"1.6 l/100 km
							147.01 US mpg176.55 UK mpg62.5 km/l",37 g/km,,,,,13.8 kWh,,252,91,8.8,2095-2218,4815,1900,1700,Lithium-polymer (LiPo),360,1.598
Kia Sorento IV,2024-2025,Scraped Data,55,160,,,"1.6 l/100 km
							147.01 US mpg176.55 UK mpg62.5 km/l",37 g/km,,,,,13.8 kWh,,252,91,8.8,2105-2228,4815,1900,1700,Lithium-polymer (LiPo),360,1.598
Kia Niro II 1.6 GDI,2024-2025,Scraped Data,,93,,,"0.8-1.0 l/100 km
							294.02 - 235.21 US mpg353.1 - 282.48 UK mpg125 - 100 km/l",19-23 g/km,,,,,11.1 kWh,,171,84,10.4,1519-1610,4420,1825,1545,Lithium-polymer (LiPo),360,1.58
Kia Sorento IV,2024-2025,Scraped Data,,177,,,,,,,,,14 kWh,,261,91,8.6,2110,4816,1900,1694,Lithium-polymer (LiPo),360,1.598
Kia Xceed,2024-2025,Scraped Data,48,105,,,"1.4-1.7 l/100 km
							168.01 - 138.36 US mpg201.77 - 166.17 UK mpg71.43 - 58.82 km/l",32-38 g/km,,,,,8.9 kWh,,141,61,11,1444-1521,4395,1826,1483-1495,Lithium-polymer (LiPo),360,1.58
Kia Niro II 1.6 GDI,2024-2025,Scraped Data,,105,,,,,,,,,11.1 kWh,,183,84,9.6,1519-1610,4420,1825,1545,Lithium-polymer (LiPo),360,1.58
Kia Sportage V 1.6 T-GDi,2024-2025,Scraped Data,56,180,,,,,,,,,13.8 kWh,,265,91,,,4515,1865,1650,Lithium-polymer (LiPo),360,1.598
Kia XCeed 1.6 GDI,2024-2025,Scraped Data,48,105,,,"1.4-1.7 l/100 km
							168.01 - 138.36 US mpg201.77 - 166.17 UK mpg71.43 - 58.82 km/l",32-38 g/km,,,,,8.9 kWh,,141,61,11,1444-1521,4395,1826,1483-1495,Lithium-polymer (LiPo),360,1.58
Kia Sorento IV 1.6 T-GDI,2024-2025,Scraped Data,57,180,,,,,,,,,13.8 kWh,,265,91,8.7,1982-2099,4810,1900,1700,Lithium-polymer (LiPo),360,1.598
Kia Sorento IV 1.6 T-GDI,2024-2025,Scraped Data,57,180,,,,,,,,,13.8 kWh,,265,91,8.7,1940-2055,4810,1900,1700,Lithium-polymer (LiPo),360,1.598
Kia Niro I,2024-2025,Scraped Data,65,105,,7.1 kWh,"5.3 l/100 km
							44.38 US mpg53.3 UK mpg18.87 km/l",31 g/km,,,,,8.9 kWh,7.1 kWh,141,61,10.8,1519-1576,4355,1805,1545,Lithium-polymer (LiPo),360,1.58
Kia Ceed III Sportswagon,2024-2025,Scraped Data,50,105,,,"1.3-1.4 l/100 km
							180.93 - 168.01 US mpg217.29 - 201.77 UK mpg76.92 - 71.43 km/l",29-33 g/km,,,,,8.9 kWh,,141,60,10.8,1458-1526,4605,1800,1465,Lithium-polymer (LiPo),360,1.58
