Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
A-Class,2024,Local Data,70,218,38000,15.6,1.4,32,3.5,370,5,3,,,,,,,,,,NCM,,1.3
C-Class,2024,Local Data,108,313,48000,25.4,1.8,41,4.5,370,5,3,,,,,,,,,,NCM,,2
CLA,2024,Local Data,70,218,40000,15.6,1.4,32,3.5,370,5,3,,,,,,,,,,NCM,,1.3
E-Class,2024,Local Data,100,381,55000,25.4,1.8,41,4.5,520,5,3,,,,,,,,,,NCM,,2
GLA,2024,Local Data,70,218,42000,15.6,1.5,34,3.5,435,5,3,,,,,,,,,,NCM,,1.3
GLC Coupé,2024,Local Data,100,313,52000,25.4,1.8,41,4.5,550,5,3,,,,,,,,,,NCM,,2
GLC,2024,Local Data,100,313,50000,25.4,1.8,41,4.5,550,5,3,,,,,,,,,,NCM,,2
GLE Coupé,2024,Local Data,90,381,68000,25.4,1.8,41,5,630,5,3,,,,,,,,,,NCM,,2
GLE,2024,Local Data,90,381,65000,25.4,1.8,41,5,630,5,3,,,,,,,,,,NCM,,2
S-Class,2024,Local Data,77,510,95000,28,1.8,41,4.5,370,5,3,,,,,,,,,,NCM,,3
Mercedes-Benz Maybach S-class,2024-2025,Scraped Data,102,367,,21.96 kWh,"2.9-8.5 l/100 km
							81.11 - 27.67 US mpg97.41 - 33.23 UK mpg34.48 - 11.76 km/l",66-78 g/km,,,,,28.6 kWh,21.96 kWh,510,150,5.1,2575-2738,5469,1921,1510,Lithium-ion (Li-Ion),,2.999
Mercedes-Benz GLC SUV,2024-2025,Scraped Data,43,208,,9.5 kWh,,,,,,,13.5 kWh,9.5 kWh,315,121,5.7,2066,4658,1890,1664,Lithium-ion (Li-Ion),,1.991
Mercedes-Benz GLC SUV,2024-2025,Scraped Data,,201,,24.8 kWh,,,,,,,31.2 kWh,24.8 kWh,313,134,,,4716,1890,1647,Lithium-ion (Li-Ion),,1.999
Mercedes-Benz CLE Coupe,2024-2025,Scraped Data,112,204,,19.53 kWh,"0.5-0.7 l/100 km
							470.43 - 336.02 US mpg564.96 - 403.54 UK mpg200 - 142.86 km/l",12-16 g/km,,,,,25.4 kWh,19.53 kWh,313,129,6.3,2100,4850,1861,1429,Lithium-ion (Li-Ion),,1.999
Mercedes-Benz C-class,2024-2025,Scraped Data,109,252,,19.53 kWh,"0.6-0.9 l/100 km
							392.02 - 261.35 US mpg470.8 - 313.87 UK mpg166.67 - 111.11 km/l",14-20 g/km,,,,,25.4 kWh,19.53 kWh,381,129,5.4,2055,4751,1820,1442,Lithium-ion (Li-Ion),,1.999
Mercedes-Benz C-class,2024-2025,Scraped Data,109,204,,19.53 kWh,"0.6-0.9 l/100 km
							392.02 - 261.35 US mpg470.8 - 313.87 UK mpg166.67 - 111.11 km/l",14-20 g/km,,,,,25.4 kWh,19.53 kWh,313,129,6.2,2055,4751,1820,1442,Lithium-ion (Li-Ion),,1.999
Mercedes-Benz S-class Long,2024-2025,Scraped Data,107,367,,21.96 kWh,"0.7-1 l/100 km
							336.02 - 235.21 US mpg403.54 - 282.48 UK mpg142.86 - 100 km/l",16-23 g/km,,,,,28.6 kWh,21.96 kWh,510,150,4.9,2395,5289,1954,1503,Lithium-ion (Li-Ion),,2.999
Mercedes-Benz S-class Long,2024-2025,Scraped Data,114,299,,21.96 kWh,"0.6-0.9 l/100 km
							392.02 - 261.35 US mpg470.8 - 313.87 UK mpg166.67 - 111.11 km/l",14-21 g/km,,,,,28.6 kWh,21.96 kWh,408,150,5.9,2355,5289,1954,1503,Lithium-ion (Li-Ion),,2.999
Mercedes-Benz S-class,2024-2025,Scraped Data,115,299,,21.96 kWh,"0.6-0.9 l/100 km
							392.02 - 261.35 US mpg470.8 - 313.87 UK mpg166.67 - 111.11 km/l",14-20 g/km,,,,,28.6 kWh,21.96 kWh,408,150,5.9,2335,5179,1954,1503,Lithium-ion (Li-Ion),,2.999
Mercedes-Benz AMG GT,2024-2025,Scraped Data,13,612,,,"8.2 l/100 km
							28.68 US mpg34.45 UK mpg12.2 km/l",188 g/km,,,,,6.1 kWh,,816,204,2.8,2120,4728,1984,1354,Lithium-ion (Li-Ion),400,3.982
Mercedes-Benz E-class,2024-2025,Scraped Data,101,449,,21.2 kWh,"0.8-1 l/100 km
							294.02 - 235.21 US mpg353.1 - 282.48 UK mpg125 - 100 km/l",19-23 g/km,,,,,28.6 kWh,21.2 kWh,585,163,4,2315,4959,1902,1472,Lithium-ion (Li-Ion),400,2.999
Mercedes-Benz E-class,2024-2025,Scraped Data,101,449,,21.2 kWh,"0.8-1 l/100 km
							294.02 - 235.21 US mpg353.1 - 282.48 UK mpg125 - 100 km/l",19-23 g/km,,,,,28.6 kWh,21.2 kWh,612,163,3.8,,,,,Lithium-ion (Li-Ion),400,2.999
Mercedes-Benz E-class T-modell,2024-2025,Scraped Data,97,449,,21.2 kWh,"0.9-1.1 l/100 km
							261.35 - 213.83 US mpg313.87 - 256.8 UK mpg111.11 - 90.91 km/l",21-24 g/km,,,,,28.6 kWh,21.2 kWh,585,163,4.1,2360,4958,1902,1483,Lithium-ion (Li-Ion),400,2.999
Mercedes-Benz E-class T-modell,2024-2025,Scraped Data,97,449,,21.2 kWh,"0.9-1.1 l/100 km
							261.35 - 213.83 US mpg313.87 - 256.8 UK mpg111.11 - 90.91 km/l",21-24 g/km,,,,,28.6 kWh,21.2 kWh,612,163,3.9,,,,,Lithium-ion (Li-Ion),400,2.999
Mercedes-Benz SL,2024-2025,Scraped Data,13,612,,,"7.7 l/100 km
							30.55 US mpg36.69 UK mpg12.99 km/l",175 g/km,,,,,6.1 kWh,,816,204,2.9,,,,,Lithium-ion (Li-Ion),400,3.982
