Model,Year,Source,EV Range (km),Power (HP),Price (EUR),Battery (kWh),Fuel Consumption (L/100km),CO2 (g/km),Charge Time AC (h),Trunk Volume (L),Seats,Warranty (years),Gross Battery (kWh),Net Battery (kWh),System Power (HP),Electric Motor Power (HP),Acceleration 0-100 (sec),Weight (kg),Length (mm),Width (mm),Height (mm),Battery Technology,Battery Voltage (V),Engine Displacement (L)
C-HR,2022,Local Data,65,184,32000,18.1,1.5,30,3,500,5,3,,,,,,,,,,NCM,,1.8
Prius,2021,Local Data,65,220,35000,8.8,1.2,27,2.5,343,5,5,,,,,,,,,,NCM,,1.8
RAV4,2022,Local Data,68,225,42000,18.1,1.4,32,4.5,580,5,5,,,,,,,,,,NCM,,1.8
Toyota RAV4 V,2024-2025,Scraped Data,75,185,,,"1.0 l/100 km
							235.21 US mpg282.48 UK mpg100 km/l",22 g/km,,,,,18.1 kWh,,306,54,6.0,1835-1925,4600,1855,1685,Lithium-ion (Li-Ion),355,2.487
Toyota Crown XVI Sport,2024-2025,Scraped Data,,177,,,,,,,,,,,306,54,,2030-2040,4720,1880,1570,Lithium-ion (Li-Ion),,2.487
Toyota Century III SUV,2024-2025,Scraped Data,,262,,,,,,,,,,,412,109,,2570-2600,5205,1990,1805,Lithium-ion (Li-Ion),,3.456
Toyota C-HR II 2.0,2024-2025,Scraped Data,66,152,,,"0.8-0.9 l/100 km
							294.02 - 261.35 US mpg353.1 - 313.87 UK mpg125 - 111.11 km/l",19-20 g/km,,,,,13.8 kWh,,223,163,7.3,,4360,1830,1570,Lithium-ion (Li-Ion),,1.987
Toyota Prius V,2024-2025,Scraped Data,,151,,,,,,,,,13.6 kWh,,223,163,,1570,4600,1780,1430,Lithium-ion (Li-Ion),,1.986
Toyota Prius IV,2024-2025,Scraped Data,45,98,,,"1.3-1.5 l/100 km
							180.93 - 156.81 US mpg217.29 - 188.32 UK mpg76.92 - 66.67 km/l",28-35 g/km,,,,,8.8 kWh,,122,31,11.1,1530-1550,4645,1760,1470,Lithium-ion (Li-Ion),352,1.798
Toyota RAV4 V 2.5 D-4S,2024-2025,Scraped Data,75,185,,,"1 l/100 km
							235.21 US mpg282.48 UK mpg100 km/l",22 g/km,,,,,18.1 kWh,,306,54,6,1910-2000,4600,1855,1690,Lithium-ion (Li-Ion),355.2,2.487
Toyota RAV4 V Prime 2.5 D-4S,2024-2025,Scraped Data,,177,,,,,,,,,18.1 kWh,,302,53,,1921,4595,1854,1702,Lithium-ion (Li-Ion),355.2,2.487
Toyota Prius IV,2024-2025,Scraped Data,,98,,,,,,,,,7.2 kWh,,122,31,11.1,1605-1625,4645,1760,1470,Lithium-ion (Li-Ion),351.5,1.798
Toyota Prius III,2024-2025,Scraped Data,,99,,,,,,,,,4.4 kWh,,136,82,10.8,1425-1450,4480,1745,1490,Lithium-ion (Li-Ion),207.2,1.798
